"variable","category","description"
"q1","Skills","Technical Skills (Programming, Data Analysis)"
"q2","Skills","Communication Skills (Writing, Presentation)"
"q3","Skills","Leadership Skills (Guiding teams)"
"q4","Skills","Time Management (Organization, Deadlines)"
"q5","Network","Network Size (Quantity of connections)"
"q6","Network","Network Quality (Insights/Advice)"
"q7","Network","Network Access (Professional circles)"
"q8","Outcomes","Overall Career Impact"
"q9","Outcomes","Resume Competitiveness"
"q10","Outcomes","Job/Promotion Success (Primary Outcome)"
"q11","Outcomes","Leadership Role Advancement"
